clean_address,crime_count,most_frequent_crime
CARBON AV     ,1,SIMPLE ASSAULT
CARBON ST,136,SIMPLE ASSAULT
CARBON ST   ,5,LARCENY
CARBON ST     ,351,SIMPLE ASSAULT
CARBON ST ST     ,1,SIMPLE ASSAULT
CARLISLE ST,3,LARCENY
CARLISLE ST     ,11,LARCENY
CARLTON DR,1,BURGLARY
CARLTON DR     ,7,LARCENY
CARLTON RD,1,BURGLARY
CARLTON RD     ,13,LARCENY
CARNARVON RD     ,1,MV THEFT
CASTLE HILL AV     ,1,LARCENY
CATAWBA ST,12,SIMPLE ASSAULT
CATAWBA ST     ,39,SIMPLE ASSAULT
CATHERINE AND HICKOR ST     ,1,AGGRAVATED ASSAULT
CATHERINE ST,85,SIMPLE ASSAULT
CATHERINE ST   ,4,AGGRAVATED ASSAULT
CATHERINE ST     ,263,SIMPLE ASSAULT
CATHERINE ST        ,1,SIMPLE ASSAULT
CATHERINE ST & JAMES ST    ,1,LARCENY
CATHOLIC CHARITIES DRWY,1,DISORDERLY CONDUCT
CATON DR,1,SIMPLE ASSAULT
CATON DR     ,2,AGGRAVATED ASSAULT
CAUYGA ST     ,1,BURGLARY
CAYUGA ST,9,SIMPLE ASSAULT
CAYUGA ST     ,36,LARCENY
CEDAR ST     ,3,LARCENY
CEDARWOOD BLVD   ,1,OFFN AGAINST FAMILY
CENTENIAL DR     ,1,SIMPLE ASSAULT
CENTENNIAL DR,44,SIMPLE ASSAULT
CENTENNIAL DR     ,184,SIMPLE ASSAULT
CENTNNIAL DR     ,1,LARCENY
CENTRAL,1,CRIMINAL MISCHIEF
CENTRAL        ,1,SIMPLE ASSAULT
CENTRAL AV     ,4,SIMPLE ASSAULT
CHAFFE,1,SIMPLE ASSAULT
CHAFFEE        ,2,CRIMINAL MISCHIEF
CHAFFEE AV,4,SIMPLE ASSAULT
CHAFFEE AV ,1,LARCENY
CHAFFEE AV   ,3,BURGLARY
CHAFFEE AV     ,21,SIMPLE ASSAULT
CHAFFEE AV   E ,1,BURGLARY
CHAFFEE AV E ,1,MV THEFT
CHAFFEE AVE,1,ALL OTHER OFFENSES
CHAFFEE AVE    ,21,CRIMINAL MISCHIEF
CHAFFEE AVE  E,1,CRIMINAL MISCHIEF
CHAFFEE AVE  E ,1,FRAUD
CHAMPLIN DR,2,CRIMINAL MISCHIEF
CHAMPLIN DR     ,5,SIMPLE ASSAULT
CHANNING PL     ,2,FRAUD
CHARLES AV     ,1,POSSESSION/MARIJUANA
CHARLOTTE ST,3,CRIMINAL MISCHIEF
CHARLOTTE ST     ,2,CRIMINAL MISCHIEF
CHARMOUTH DR,3,AGGRAVATED ASSAULT
